timestamp,event_name,zone,zone_capacity,tickets_sold,live_count,avg_entry_rate,weather,artist_popularity,day_of_week,time_to_show_mins,predicted_count,congestion_level
2025-02-10 17:00,PPop Live,Fan Zone Right,2500,2400,144,25,cloudy,7,Wednesday,120,279,0
2025-02-10 17:01,PPop Live,Level 1,7000,6800,560,43,cloudy,7,Wednesday,119,646,0
2025-02-10 17:02,PPop Live,West Block,4000,3500,381,17,cloudy,10,Monday,118,411,0
2025-02-10 17:03,PPop Live,West Block,4000,3500,456,53,rainy,10,Tuesday,117,556,0
2025-02-10 17:04,PPop Live,Level 3,9000,7900,1126,74,clear,7,Saturday,116,1196,0
2025-02-10 17:05,PPop Live,HSBC Starstruck Pit,800,800,148,60,cloudy,7,Monday,115,280,0
2025-02-10 17:06,PPop Live,Level 1,7000,6800,430,58,clear,10,Friday,114,601,0
2025-02-10 17:07,PPop Live,VIP,1500,1500,79,39,clear,8,Tuesday,113,154,0
2025-02-10 17:08,PPop Live,East Block 1,3000,2900,340,29,cloudy,9,Monday,112,485,0
2025-02-10 17:09,PPop Live,Level 3,9000,7900,890,66,rainy,7,Wednesday,111,997,0
2025-02-10 17:10,PPop Live,HSBC Starstruck Pit,800,800,142,6,clear,8,Friday,110,241,0
2025-02-10 17:11,PPop Live,West Block 1,3000,2900,787,59,clear,10,Tuesday,109,817,0
2025-02-10 17:12,PPop Live,VIP Tables,200,180,37,53,cloudy,8,Thursday,108,200,3
2025-02-10 17:13,PPop Live,East Block,4000,3600,278,51,cloudy,9,Sunday,107,360,0
2025-02-10 17:14,PPop Live,West Block,4000,3500,852,49,rainy,7,Saturday,106,910,0
2025-02-10 17:15,PPop Live,VIP,1500,1500,3,45,rainy,10,Wednesday,105,117,0
2025-02-10 17:16,PPop Live,Fan Zone Right,2500,2400,609,57,cloudy,9,Wednesday,104,734,0
2025-02-10 17:17,PPop Live,HSBC Starstruck Pit,800,800,204,32,cloudy,7,Tuesday,103,362,1
2025-02-10 17:18,PPop Live,Level 3,9000,7900,682,84,cloudy,7,Tuesday,102,826,0
2025-02-10 17:19,PPop Live,Level 1,7000,6800,2119,89,clear,9,Friday,101,2268,0
2025-02-10 17:20,PPop Live,Level 3,9000,7900,1753,18,rainy,10,Sunday,100,1813,0
2025-02-10 17:21,PPop Live,West Block,4000,3500,258,42,clear,9,Tuesday,99,415,0
2025-02-10 17:22,PPop Live,West Block 1,3000,2900,517,65,rainy,9,Tuesday,98,707,0
2025-02-10 17:23,PPop Live,West Block 1,3000,2900,631,61,rainy,10,Sunday,97,712,0
2025-02-10 17:24,PPop Live,East Block 1,3000,2900,188,77,clear,9,Monday,96,238,0
2025-02-10 17:25,PPop Live,Level 1,7000,6800,532,60,cloudy,10,Wednesday,95,720,0
2025-02-10 17:26,PPop Live,Level 2,8000,7200,1935,39,clear,8,Friday,94,2120,0
2025-02-10 17:27,PPop Live,VIP Tables,200,180,66,36,rainy,8,Saturday,93,200,3
2025-02-10 17:28,PPop Live,Fan Zone Left,2500,2400,335,75,rainy,8,Friday,92,368,0
2025-02-10 17:29,PPop Live,Terrace B,2000,1800,137,41,rainy,10,Tuesday,91,179,0
2025-02-10 17:30,PPop Live,Fan Zone Left,2500,2400,689,45,cloudy,10,Wednesday,90,863,0
2025-02-10 17:31,PPop Live,HSBC Starstruck Pit,800,800,264,45,cloudy,8,Tuesday,89,367,1
2025-02-10 17:32,PPop Live,Level 3,9000,7900,1963,48,cloudy,7,Wednesday,88,2129,0
2025-02-10 17:33,PPop Live,Fan Zone Left,2500,2400,77,20,rainy,8,Thursday,87,246,0
2025-02-10 17:34,PPop Live,East Block 1,3000,2900,333,35,cloudy,7,Thursday,86,485,0
2025-02-10 17:35,PPop Live,Level 1,7000,6800,2564,32,rainy,7,Thursday,85,2602,0
2025-02-10 17:36,PPop Live,Level 3,9000,7900,2192,54,cloudy,10,Wednesday,84,2382,0
2025-02-10 17:37,PPop Live,Level 2,8000,7200,1359,54,rainy,8,Friday,83,1453,0
2025-02-10 17:38,PPop Live,Level 1,7000,6800,1186,38,cloudy,10,Friday,82,1217,0
2025-02-10 17:39,PPop Live,West Block,4000,3500,487,38,clear,7,Friday,81,667,0
2025-02-10 17:40,PPop Live,East Block 1,3000,2900,28,60,rainy,9,Thursday,80,161,0
2025-02-10 17:41,PPop Live,Level 3,9000,7900,2345,39,cloudy,8,Saturday,79,2432,0
2025-02-10 17:42,PPop Live,Level 2,8000,7200,1686,46,rainy,7,Thursday,78,1781,0
2025-02-10 17:43,PPop Live,Level 1,7000,6800,575,44,rainy,9,Tuesday,77,756,0
2025-02-10 17:44,PPop Live,East Block 1,3000,2900,1075,69,clear,10,Thursday,76,1179,0
2025-02-10 17:45,PPop Live,East Block 1,3000,2900,582,80,clear,10,Saturday,75,673,0
2025-02-10 17:46,PPop Live,Terrace A,2000,1800,507,29,clear,7,Tuesday,74,706,0
2025-02-10 17:47,PPop Live,Level 3,9000,7900,678,47,rainy,7,Wednesday,73,725,0
2025-02-10 17:48,PPop Live,Level 3,9000,7900,2774,78,cloudy,10,Monday,72,2922,0
2025-02-10 17:49,PPop Live,Terrace A,2000,1800,149,59,clear,8,Wednesday,71,292,0
2025-02-10 17:50,PPop Live,West Block,4000,3500,337,82,cloudy,7,Tuesday,70,459,0
2025-02-10 17:51,PPop Live,Level 2,8000,7200,1692,32,rainy,10,Wednesday,69,1881,0
2025-02-10 17:52,PPop Live,West Block 1,3000,2900,771,41,clear,10,Saturday,68,896,0
2025-02-10 17:53,PPop Live,Fan Zone Left,2500,2400,344,5,rainy,9,Wednesday,67,500,0
2025-02-10 17:54,PPop Live,East Block,4000,3600,38,59,rainy,9,Sunday,66,212,0
2025-02-10 17:55,PPop Live,East Block 1,3000,2900,1182,61,cloudy,10,Sunday,65,1269,1
2025-02-10 17:56,PPop Live,Terrace A,2000,1800,899,44,clear,7,Thursday,64,1070,1
2025-02-10 17:57,PPop Live,East Block 1,3000,2900,513,39,rainy,10,Sunday,63,586,0
2025-02-10 17:58,PPop Live,Level 3,9000,7900,4510,11,rainy,9,Tuesday,62,4691,1
2025-02-10 17:59,PPop Live,West Block,4000,3500,1672,31,clear,10,Monday,61,1853,1
2025-02-10 18:00,PPop Live,Terrace B,2000,1800,601,45,clear,7,Tuesday,60,775,0
2025-02-10 18:01,PPop Live,VIP,1500,1500,732,37,clear,8,Monday,59,806,1
2025-02-10 18:02,PPop Live,VIP Tables,200,180,68,44,clear,10,Saturday,58,200,3
2025-02-10 18:03,PPop Live,West Block,4000,3500,1813,17,clear,9,Thursday,57,1915,1
2025-02-10 18:04,PPop Live,West Block 1,3000,2900,1599,52,clear,7,Monday,56,1675,1
2025-02-10 18:05,PPop Live,Terrace A,2000,1800,273,77,clear,9,Saturday,55,453,0
2025-02-10 18:06,PPop Live,Terrace B,2000,1800,586,40,cloudy,7,Sunday,54,690,0
2025-02-10 18:07,PPop Live,Level 2,8000,7200,2740,46,rainy,7,Saturday,53,2902,0
2025-02-10 18:08,PPop Live,Level 2,8000,7200,3585,53,clear,8,Sunday,52,3651,1
2025-02-10 18:09,PPop Live,Level 3,9000,7900,507,52,rainy,8,Monday,51,640,0
2025-02-10 18:10,PPop Live,VIP Tables,200,180,104,44,cloudy,9,Sunday,50,200,3
2025-02-10 18:11,PPop Live,Level 3,9000,7900,1840,44,cloudy,7,Saturday,49,2033,0
2025-02-10 18:12,PPop Live,VIP Tables,200,180,98,46,rainy,9,Tuesday,48,200,3
2025-02-10 18:13,PPop Live,Level 1,7000,6800,4525,50,clear,10,Saturday,47,4591,1
2025-02-10 18:14,PPop Live,VIP,1500,1500,415,79,clear,10,Saturday,46,561,0
2025-02-10 18:15,PPop Live,Terrace A,2000,1800,145,50,clear,9,Friday,45,306,0
2025-02-10 18:16,PPop Live,Terrace A,2000,1800,1116,8,cloudy,10,Friday,44,1257,1
2025-02-10 18:17,PPop Live,Level 2,8000,7200,3454,93,cloudy,10,Saturday,43,3583,1
2025-02-10 18:18,PPop Live,Fan Zone Left,2500,2400,1072,79,rainy,8,Tuesday,42,1173,1
2025-02-10 18:19,PPop Live,Fan Zone Right,2500,2400,146,20,cloudy,9,Friday,41,241,0
2025-02-10 18:20,PPop Live,West Block 1,3000,2900,1378,48,rainy,10,Monday,40,1570,1
2025-02-10 18:21,PPop Live,HSBC Starstruck Pit,800,800,399,33,rainy,8,Friday,39,503,1
2025-02-10 18:22,PPop Live,Level 1,7000,6800,3451,63,cloudy,9,Wednesday,38,3588,1
2025-02-10 18:23,PPop Live,Level 2,8000,7200,2614,24,clear,9,Friday,37,2777,0
2025-02-10 18:24,PPop Live,West Block 1,3000,2900,1492,25,rainy,9,Wednesday,36,1525,1
2025-02-10 18:25,PPop Live,Fan Zone Right,2500,2400,1479,96,rainy,9,Thursday,35,1581,1
2025-02-10 18:26,PPop Live,Level 2,8000,7200,2057,51,cloudy,7,Sunday,34,2201,0
2025-02-10 18:27,PPop Live,East Block,4000,3600,241,43,rainy,8,Thursday,33,368,0
2025-02-10 18:28,PPop Live,West Block 1,3000,2900,581,14,clear,9,Thursday,32,681,0
2025-02-10 18:29,PPop Live,HSBC Starstruck Pit,800,800,505,45,cloudy,8,Sunday,31,645,2
2025-02-10 18:30,PPop Live,West Block,4000,3500,1529,50,cloudy,9,Monday,30,1723,1
2025-02-10 18:31,PPop Live,Terrace B,2000,1800,1331,40,clear,9,Thursday,29,1445,2
2025-02-10 18:32,PPop Live,West Block 1,3000,2900,218,29,rainy,8,Saturday,28,387,0
